"waterYear","month","deposition_name","deposition_kg_per_ha_impute"
1994,"August","Inorganic N",0.4257077531
1994,"August","NH4-N",0.193668804
1994,"August","NO3-N",0.232043692
1994,"August","SO4-S",0.234654444
1994,"August","cations",0.1966387
1994,"July","Inorganic N",0.1632794114
1994,"July","NH4-N",0.062406486933
1994,"July","NO3-N",0.10087869227
1994,"July","SO4-S",0.129752118
1994,"July","cations",0.2555112
1994,"June","Inorganic N",0.1693958081
1994,"June","NH4-N",0.073141860036
1994,"June","NO3-N",0.096011514912
1994,"June","SO4-S",0.107044515
1994,"June","cations",0.089954
1995,"August","Inorganic N",0.1919105116
1995,"August","NH4-N",0.070051212
1995,"August","NO3-N",0.121893552
1995,"August","SO4-S",0.110428461
1995,"August","cations",0.1287531
1995,"July","Inorganic N",0.2032261747
1995,"July","NH4-N",0.0802947371877
1995,"July","NO3-N",0.123112751488
1995,"July","SO4-S",0.132920613
1995,"July","cations",0.1636395
1995,"June","Inorganic N",0.3289715798
1995,"June","NH4-N",0.148413216
1995,"June","NO3-N",0.180564282
1995,"June","SO4-S",0.265376025
1995,"June","cations",0.3416808
1996,"August","Inorganic N",0.2965758388
1996,"August","NH4-N",0.129795519
1996,"August","NO3-N",0.166793198
1996,"August","SO4-S",0.127571634
1996,"August","cations",0.18416
1996,"July","Inorganic N",0.18315955748
1996,"July","NH4-N",0.074798682
1996,"July","NO3-N",0.108378752
1996,"July","SO4-S",0.130087116
1996,"July","cations",0.1286764
1996,"June","Inorganic N",0.1750268026
1996,"June","NH4-N",0.0823448920917
1996,"June","NO3-N",0.092414182964
1996,"June","SO4-S",0.0888965145
1996,"June","cations",0.10803565
1997,"August","Inorganic N",0.3072921972
1997,"August","NH4-N",0.1188881138235
1997,"August","NO3-N",0.18846795174
1997,"August","SO4-S",0.1702424205
1997,"August","cations",0.1666748
1997,"July","Inorganic N",0.2359189719
1997,"July","NH4-N",0.1062619285476
1997,"July","NO3-N",0.129928558024
1997,"July","SO4-S",0.112367187
1997,"July","cations",0.0984123
1997,"June","Inorganic N",0.2272183162
1997,"June","NH4-N",0.1059611648235
1997,"June","NO3-N",0.12127656974
1997,"June","SO4-S",0.1502810685
1997,"June","cations",0.22952075
1998,"August","Inorganic N",0.37107691656
1998,"August","NH4-N",0.1135035384
1998,"August","NO3-N",0.257680228
1998,"August","SO4-S",0.2344017636
1998,"August","cations",0.16576432
1998,"July","Inorganic N",0.27936705366
1998,"July","NH4-N",0.117921405
1998,"July","NO3-N",0.1614659712
1998,"July","SO4-S",0.1360755216
1998,"July","cations",0.1506093
1998,"June","Inorganic N",0.2771478836
1998,"June","NH4-N",0.077561694
1998,"June","NO3-N",0.199679814
1998,"June","SO4-S",0.208663794
1998,"June","cations",0.5798947
1999,"August","Inorganic N",0.19727198036
1999,"August","NH4-N",0.051510438
1999,"August","NO3-N",0.145834862
1999,"August","SO4-S",0.126365508
1999,"August","cations",0.0834898
1999,"July","Inorganic N",0.2095305944
1999,"July","NH4-N",0.0628361426028
1999,"July","NO3-N",0.147042756968
1999,"July","SO4-S",0.106065828
1999,"July","cations",0.1014984
1999,"June","Inorganic N",0.24126148344
1999,"June","NH4-N",0.07985801748456
1999,"June","NO3-N",0.1604062531772
1999,"June","SO4-S",0
1999,"June","cations",0
2000,"August","Inorganic N",0.1514362478
2000,"August","NH4-N",0.05593095524226
2000,"August","NO3-N",0.0957913062072
2000,"August","SO4-S",0.0424770804
2000,"August","cations",0.0416052
2000,"July","Inorganic N",0.3616878847
2000,"July","NH4-N",0.1670734149
2000,"July","NO3-N",0.194613911
2000,"July","SO4-S",0.1342992996
2000,"July","cations",0.1390396
2000,"June","Inorganic N",0.12729319474
2000,"June","NH4-N",0.04032221298
2000,"June","NO3-N",0.08700494664
2000,"June","SO4-S",0.08283707334
2000,"June","cations",0.11388598
2001,"August","Inorganic N",0.84151556106
2001,"August","NH4-N",0.4291352352
2001,"August","NO3-N",0.41230423
2001,"August","SO4-S",0.318282066
2001,"August","cations",0.25387046
2001,"July","Inorganic N",0.35048369066
2001,"July","NH4-N",0.135079119
2001,"July","NO3-N",0.215453936
2001,"July","SO4-S",0.1587321756
2001,"July","cations",0.15058306
2001,"June","Inorganic N",0.2307393531
2001,"June","NH4-N",0.1107672959148
2001,"June","NO3-N",0.119534702764
2001,"June","SO4-S",0.081015459
2001,"June","cations",0.1222629
2002,"August","Inorganic N",0.2406831102
2002,"August","NH4-N",0.0961315818792
2002,"August","NO3-N",0.14430045308
2002,"August","SO4-S",0.095112459
2002,"August","cations",0.1035558
2002,"July","Inorganic N",0.487662474
2002,"July","NH4-N",0.29998416
2002,"July","NO3-N",0.187538868
2002,"July","SO4-S",0.13279374
2002,"July","cations",0.1915287
2002,"June","Inorganic N",0.1289850989
2002,"June","NH4-N",0.0623118216042
