siteId,labno,dateOn,dateOff,yrmonth,ph,Conduc,flagCa,Ca,flagMg,Mg,flagK,K,flagNa,na,flagNH4,NH4,flagNO3,NO3,flagCl,Cl,flagSO4,SO4,svol,ppt,subppt,valcode,invalcode,modifiedOn
CO98,NC1906OW,2/21/84 18:30,2/28/84 18:30,198402,5.73,3.9, ,0.12, ,0.017, ,0.006, ,0.04, ,0.09, ,0.5, ,0.06, ,0.5,899.4,17.02,17.02,w ,            ,2/1/85
CO98,NC2150OW,2/28/84 18:30,3/6/84 18:30,198403,5.97,5.1, ,0.42, ,0.064, ,0.011, ,0.11, ,0.07, ,0.65, ,0.11, ,0.6,278.1,7.62,7.62,w ,            ,2/1/85
CO98,NC2269OW,3/6/84 18:30,3/13/84 18:30,198403,5.54,4.7, ,0.17, ,0.05, ,0.012, ,0.091, ,0.06, ,0.36, ,0.03, ,0.59,158.2,17.78,17.78,w ,            ,2/1/85
CO98,NC2325OW,3/13/84 18:30,3/20/84 18:30,198403,6.42,6.8, ,0.44, ,0.046, ,0.024, ,0.08, ,0.39, ,0.99,<,0.02, ,0.67,845.7,23.37,23.37,w ,            ,2/1/85
CO98,NC2565OW,3/20/84 18:30,3/27/84 18:30,198403,5.11,5.9, ,0.07, ,0.01,<,0.003, ,0.011, ,0.17, ,0.86,<,0.02, ,0.47,1850.8,37.85,37.85,w ,            ,2/1/85
CO98,NC2697OW,3/27/84 18:30,4/3/84 18:30,198403,5.1,7.8, ,0.13, ,0.023, ,0.008, ,0.04, ,0.28, ,0.98, ,0.08, ,0.87,1041.1,24.38,24.38,w ,            ,2/1/85
CO98,NC2843OW,4/3/84 18:30,4/10/84 18:30,198404,5.3,5.6, ,0.15, ,0.03, ,0.006, ,0.057, ,0.14, ,0.72, ,0.05, ,0.63,604.3,13.72,13.72,w ,            ,2/1/85
CO98,NC3003OW,4/10/84 18:30,4/17/84 18:30,198404,5.85,2.9, ,0.16, ,0.022, ,0.01, ,0.057,<,0.02, ,0.24, ,0.07, ,0.74,576.5,33.53,33.53,w ,            ,2/1/85
CO98,NC3166OW,4/17/84 18:30,4/24/84 18:30,198404,5.13,6.3, ,0.15, ,0.041, ,0.011, ,0.045, ,0.21, ,0.68, ,0.05, ,0.73,2286.5,73.91,73.91,w ,            ,2/1/85
CO98,NC3353OW,4/24/84 18:30,5/1/84 17:30,198404,5.39,5.7, ,0.24, ,0.039, ,0.016, ,0.049, ,0.18, ,0.78, ,0.09, ,0.84,1272.8,42.16,42.16,w ,            ,2/1/85
