lake_ID,year,ANC,Ca_mgL,Cl_mgL,DIN_mgL,DOC_mgL,DON_mgL,F_mgL,K_mgL,Mg_mgL,NH4_N_mgL,NH4_mgL,NO3_N_mgL,NO3_mgL,Na_mgL,PO4_mgL,SO4_mgL,TDN_mgL,TP_mgL,cond_uScm,pH,z_ANC,z_Ca_mgL,z_Cl_mgL,z_DIN_mgL,z_DOC_mgL,z_DON_mgL,z_F_mgL,z_K_mgL,z_Mg_mgL,z_NH4_N_mgL,z_NH4_mgL,z_NO3_N_mgL,z_NO3_mgL,z_Na_mgL,z_PO4_mgL,z_SO4_mgL,z_TDN_mgL,z_TP_mgL,z_cond_uScm,z_pH
AVALANCHE LAKE,2000,238.1333333,4.993333333,0.18,NA,NA,NA,0.04,0.236666667,0.243333333,NA,0.026666667,NA,0.963333333,0.716666667,0,1.5,NA,NA,32.1,7.026666667,0.635047816,0.996276289,0.999771373,NA,NA,NA,0.427372797,0.34001351,-0.278751671,NA,0.714953718,NA,2.425455518,0.858039228,-0.1699893,-0.025209591,NA,NA,0.73775832,0.332996878
AVALANCHE LAKE,2001,217.4,4.743333333,0.14,NA,NA,NA,0.046666667,0.226666667,0.236666667,NA,0,NA,0.973333333,0.676666667,0,1.543333333,NA,NA,29.13333333,7.346666667,0.520676381,0.905012465,0.437776129,NA,NA,NA,0.566446093,0.260084103,-0.289582763,NA,-0.810207836,NA,2.457416968,0.741438807,-0.1699893,-0.008471235,NA,NA,0.582683886,0.979558055
AVALANCHE LAKE,2002,253.4233333,5.543333333,0.19,NA,NA,NA,0.02,0.253333333,0.28,NA,0.023333333,NA,1.146666667,0.773333333,0,1.866666667,NA,NA,31.73333333,7.453333333,0.719392153,1.197056702,1.140270184,NA,NA,NA,0.010152908,0.473229187,-0.21918066,NA,0.524308523,NA,3.011415436,1.023223157,-0.1699893,0.116422648,NA,NA,0.718591817,1.195078447
AVALANCHE LAKE,2003,228.78,4.725,0.18,NA,NA,NA,0.05,0.271666667,0.388333333,NA,0.003333333,NA,1.175,0.705,0,1.773333333,NA,NA,30.08333333,7.53,0.583451956,0.898319785,0.999771373,NA,NA,NA,0.635982742,0.619766431,-0.0431754,NA,-0.619562642,NA,3.101972878,0.824030772,-0.1699893,0.080370806,NA,NA,0.632342553,1.349983728
AVALANCHE LAKE,2004,229.71,5.18,0.16,NA,NA,NA,0.045,0.27,0.265,NA,0.015,NA,0.895,0.77,0,1.985,NA,NA,30.4,7.575,0.588582122,1.064419944,0.718773751,NA,NA,NA,0.531677769,0.606444864,-0.243550619,NA,0.047695538,NA,2.207052276,1.013506455,-0.1699893,0.162131235,NA,NA,0.648895442,1.440906394
AVALANCHE LAKE,2005,198.88,4.295,0.265,NA,NA,NA,0.045,0.205,0.24,NA,0.025,NA,0.61,0.605,0.035,1.385,NA,NA,26.66666667,7.5,0.418514371,0.741346007,2.194011267,NA,NA,NA,0.531677769,0.086903723,-0.284167217,NA,0.61963112,NA,1.296150949,0.532529721,8.918519417,-0.069630611,NA,NA,0.453745593,1.289368618
AVALANCHE LAKE,2006,206.7866667,4.275,0.105,NA,NA,NA,0.025,0.2,0.245,NA,0,NA,0.725,0.6,0,1.555,NA,NA,28.76666667,7.42,0.462129974,0.734044902,-0.05396971,NA,NA,NA,0.114457881,0.04693902,-0.276043897,NA,-0.810207836,NA,1.663707625,0.517954668,-0.1699893,-0.003964755,NA,NA,0.563517383,1.127728324
AVALANCHE LAKE,2007,226.5066667,4.76,NA,NA,NA,NA,NA,0.213333333,0.236666667,NA,0.01,NA,NA,0.693333333,NA,NA,NA,NA,28.6,7.56,0.570911551,0.91109672,NA,NA,NA,NA,NA,0.153511562,-0.289582763,NA,-0.238272253,NA,NA,0.790022316,NA,NA,NA,NA,0.554805336,1.410598839
AVALANCHE LAKE,2008,241.8233333,4.87,0.146666667,NA,NA,NA,0.036666667,0.246666667,0.263333333,NA,0,NA,0.546666667,0.743333333,0.003333333,1.726666667,NA,NA,29.03333333,7.886666667,0.65540299,0.951252803,0.531442003,NA,NA,NA,0.357836149,0.419942916,-0.246258392,NA,-0.810207836,NA,1.093728432,0.935772842,0.695582958,0.062344884,NA,NA,0.577456658,2.070630039
AVALANCHE LAKE,2009,239.945,4.52,0.115,NA,NA,NA,0.045,0.2,0.235,NA,0,NA,0.26,0.775,0,1.395,NA,NA,26.15,8.21,0.645041526,0.823483449,0.086529101,NA,NA,NA,0.531677769,0.04693902,-0.292290537,NA,-0.810207836,NA,0.177500196,1.028081508,-0.1699893,-0.065767914,NA,NA,0.426738248,2.723926228
AVALANCHE LAKE,2010,202.545,3.94,0.12,NA,NA,NA,0.035,0.185,0.335,NA,0,NA,0.62,0.605,0,1.37,NA,NA,26.57,7.595,0.438731637,0.611751377,0.156778507,NA,NA,NA,0.323067825,-0.072955089,-0.129824143,NA,-0.810207836,NA,1.328112399,0.532529721,-0.1699893,-0.075424657,NA,NA,0.448692606,1.481316467
AVALANCHE LAKE,2011,231.45,3.84,0.115,NA,NA,NA,0.04,0.195,0.375,NA,0.02,NA,0.37,0.63,0,1.485,NA,NA,27.495,7.62,0.598180497,0.575245848,0.086529101,NA,NA,NA,0.427372797,0.006974317,-0.064837586,NA,0.333663329,NA,0.529076147,0.605404983,-0.1699893,-0.031003637,NA,NA,0.497044466,1.531829059
AVALANCHE LAKE,2016,278.6966667,5.403333333,0.186666667,NA,0.603333333,NA,0.046666667,0.223333333,0.26,NA,0.02,NA,0.87,0.836666667,0,2.096666667,0.216666667,NA,33.43333333,7.663333333,0.858807624,1.14594896,1.093437247,NA,-0.5827012,NA,0.566446093,0.233440968,-0.251673938,NA,0.333663329,NA,2.127148651,1.20784049,-0.1699893,0.205264689,0.662320627,NA,0.807454694,1.619384218
AVALANCHE LAKE,2019,251.72,3.35,0.11,NA,0.36,NA,0,0.19,0.26,NA,0.04,NA,0.51,0.62,0,1.63,0.14,NA,24.97,7.31,0.709996043,0.396368753,0.016279696,NA,-0.807292985,NA,-0.40706698,-0.032990386,-0.251673938,NA,1.477534494,NA,0.976536448,0.576254878,-0.1699893,0.025005476,-0.116340986,NA,0.365056957,0.90547292
AVALANCHE LAKE,2020,238.47,4.63,0.15,NA,0.73,NA,0.02,0.24,0.22,NA,0.02,NA,0.25,0.74,0,1.86,0.11,NA,28.13,7.05,0.636904973,0.863639532,0.57827494,NA,-0.465790409,NA,0.010152908,0.366656645,-0.316660496,NA,0.333663329,NA,0.145538746,0.92605614,-0.1699893,0.113847517,-0.42103466,NA,0.530237364,0.380141964
BIG ELDORADO LAKE,1985,35,1.32,0.126,NA,NA,NA,0,0.094,0.404,NA,0.014,NA,0.094,0.094,0,3.02,NA,NA,14.8,7.12,-0.485498051,-0.344693498,0.241077793,NA,NA,NA,-0.40706698,-0.800312686,-0.017722332,NA,-0.00949802,NA,-0.353059875,-0.957040652,-0.1699893,0.561920419,NA,NA,-0.16655214,0.521577221
BIG ELDORADO LAKE,1986,37.75,1.4,0.1525,NA,NA,NA,0,0.1125,0.44,NA,0.02,NA,0.1525,0.155,0,3.8,NA,NA,15,6.725,-0.470328206,-0.315489074,0.613399643,NA,NA,NA,-0.40706698,-0.652443284,0.04076557,NA,0.333663329,NA,-0.166085392,-0.779225011,-0.1699893,0.863210818,NA,NA,-0.156097684,-0.276521731
BIG ELDORADO LAKE,1987,37.33333333,1.5,0.14,NA,NA,NA,0,0.12,0.526666667,NA,0.003333333,NA,0.07,0.123333333,0,3.3,NA,NA,17,7.266666667,-0.472626668,-0.278983544,0.437776129,NA,NA,NA,-0.40706698,-0.59249623,0.181569777,NA,-0.619562642,NA,-0.429767356,-0.871533677,-0.1699893,0.670075947,NA,NA,-0.051553122,0.81791776
BIG ELDORADO LAKE,1988,29,1.78,0.182,NA,NA,NA,0,0.224,0.72,NA,0.002,NA,0.238,0.136,0,6,NA,NA,19.8,7.34,-0.518595894,-0.176768062,1.027871135,NA,NA,NA,-0.40706698,0.238769595,0.495671471,NA,-0.695820719,NA,0.107185006,-0.834610211,-0.1699893,1.713004253,NA,NA,0.094809264,0.96608803
BIG ELDORADO LAKE,1989,27.3,2,0.082,NA,NA,NA,0,0.092,0.77,NA,0.004,NA,0.12,0.148,0,6.76,NA,NA,22.6,7.48,-0.527973616,-0.096455897,-0.377116975,NA,NA,NA,-0.40706698,-0.816298567,0.576904668,NA,-0.581433603,NA,-0.269960105,-0.799630085,-0.1699893,2.006569258,NA,NA,0.241171651,1.248958545
BIG ELDORADO LAKE,1990,27.31666667,2.5,0.111666667,NA,NA,NA,0,0.143333333,1.073333333,NA,0.008333333,NA,0.183333333,0.171666667,0,9.6,NA,NA,29.81666667,6.173333333,-0.527881678,0.086071751,0.039696164,NA,NA,NA,-0.40706698,-0.405994282,1.069719394,NA,-0.33359485,NA,-0.067537588,-0.730641502,-0.1699893,3.103575328,NA,NA,0.618403278,-1.391166258
BIG ELDORADO LAKE,1991,46.68,1.616,0.082,NA,NA,NA,0,0.096,0.442,NA,0.002,NA,0.156,0.122,0,3.46,NA,NA,15.38,6.82,-0.421067583,-0.23663713,-0.377116975,NA,NA,NA,-0.40706698,-0.784326805,0.044014898,NA,-0.695820719,NA,-0.154898885,-0.875420358,-0.1699893,0.731879106,NA,NA,-0.136234217,-0.084573881
BIG ELDORADO LAKE,1992,34.03333333,2.466666667,0.106666667,NA,NA,NA,0,0.123333333,1.033333333,NA,0.005,NA,0.093333333,0.168333333,0,7.966666667,NA,NA,27.18333333,6.895,-0.490830481,0.073903242,-0.030553241,NA,NA,NA,-0.40706698,-0.565853094,1.004732837,NA,-0.524240044,NA,-0.355190639,-0.740358204,-0.1699893,2.472668081,NA,NA,0.480752938,0.066963894
BIG ELDORADO LAKE,1993,25.76666667,1.873333333,0.073333333,NA,NA,NA,0,0.086666667,0.856666667,NA,0,NA,0.146666667,0.133333333,0,6.99,NA,NA,22.03333333,7.113333333,-0.536431954,-0.142696234,-0.498882611,NA,NA,NA,-0.40706698,-0.858927584,0.717708875,NA,-0.810207836,NA,-0.184729572,-0.842383572,-0.1699893,2.095411299,NA,NA,0.211550692,0.508107197
BIG ELDORADO LAKE,1994,42.86666667,1.333333333,0.056666667,NA,NA,NA,0,0.09,0.44,NA,0.003333333,NA,0.146666667,0.123333333,0,3.233333333,NA,NA,14.1,6.64,-0.442103101,-0.339826094,-0.733047296,NA,NA,NA,-0.40706698,-0.832284448,0.04076557,NA,-0.619562642,NA,-0.184729572,-0.871533677,-0.1699893,0.644324631,NA,NA,-0.203142737,-0.448264543
BIG ELDORADO LAKE,1995,41.26666667,1.333333333,0.036666667,NA,NA,NA,0,0.07,0.463333333,NA,0,NA,0.146666667,0.1,0,3.153333333,NA,NA,15.63333333,7.476666667,-0.450929193,-0.339826094,-1.014044918,NA,NA,NA,-0.40706698,-0.992143261,0.078674395,NA,-0.810207836,NA,-0.184729572,-0.939550589,-0.1699893,0.613423051,NA,NA,-0.122991906,1.242223532
BIG ELDORADO LAKE,1996,29.65,1.25,0.12,NA,NA,NA,0,0.1,0.385,NA,0,NA,0.045,0.11,0,3.4,NA,NA,NA,6.57,-0.515010294,-0.370247368,0.156778507,NA,NA,NA,-0.40706698,-0.752355042,-0.048590947,NA,-0.810207836,NA,-0.509670981,-0.910400484,-0.1699893,0.708702921,NA,NA,NA,-0.5896998
BIG ELDORADO LAKE,1997,79.46666667,1.913333333,0.036666667,NA,NA,NA,0,0.096666667,0.596666667,NA,0,NA,0.086666667,0.126666667,0,3.193333333,NA,NA,NA,6.626666667,-0.240206258,-0.128094022,-1.014044918,NA,NA,NA,-0.40706698,-0.778998178,0.295296253,NA,-0.810207836,NA,-0.376498272,-0.861816975,-0.1699893,0.628873841,NA,NA,NA,-0.475204592
BIG ELDORADO LAKE,1998,37.825,2.2925,0.06,NA,NA,NA,0,0.0925,0.9025,NA,0,NA,0.16,0.14,0,2.9825,NA,NA,13.75,6.4875,-0.469914483,0.010322778,-0.686214359,NA,NA,NA,-0.40706698,-0.812302097,0.792172639,NA,-0.810207836,NA,-0.142114305,-0.822950169,-0.1699893,0.547435303,NA,NA,-0.221438035,-0.756391354
BIG ELDORADO LAKE,1999,20.26666667,1.293333333,0.053333333,NA,NA,NA,0,0.07,0.336666667,NA,0,NA,0.13,0.09,0,3.223333333,NA,NA,14.4,6.326666667,-0.566771644,-0.354428306,-0.779880233,NA,NA,NA,-0.40706698,-0.992143261,-0.12711637,NA,-0.810207836,NA,-0.237998655,-0.968700694,-0.1699893,0.640461933,NA,NA,-0.187461052,-1.081355695
BIG ELDORADO LAKE,2000,NA,1.41,0.07,NA,NA,NA,0,0.13,0.44,NA,0.02,NA,0.05,0.11,0,3.68,NA,NA,13.6,6.48,NA,-0.311838521,-0.545715548,NA,NA,NA,-0.40706698,-0.512566823,0.04076557,NA,0.333663329,NA,-0.493690256,-0.910400484,-0.1699893,0.816858449,NA,NA,-0.229278877,-0.771545131
BIG ELDORADO LAKE,2001,NA,1.053333333,0.05,NA,NA,NA,0,0.066666667,0.376666667,NA,0.02,NA,0.036666667,0.076666667,0,3.1,NA,NA,12.9,6.186666667,NA,-0.442041577,-0.82671317,NA,NA,NA,-0.40706698,-1.018786396,-0.062129813,NA,0.333663329,NA,-0.536305522,-1.007567501,-0.1699893,0.592821998,NA,NA,-0.265869474,-1.364226209
BIG ELDORADO LAKE,2002,NA,1.846666667,0.1,NA,NA,NA,0,0.16,0.62,NA,0.02,NA,0.036666667,0.136666667,0,5.216666667,NA,NA,19.76666667,6.733333333,NA,-0.152431042,-0.124219115,NA,NA,NA,-0.40706698,-0.272778605,0.333205078,NA,0.333663329,NA,-0.536305522,-0.83266687,-0.1699893,1.410426288,NA,NA,0.093066855,-0.2596842
BIG ELDORADO LAKE,2003,NA,1.97,0.213333333,NA,NA,NA,0,0.183333333,0.663333333,NA,0.02,NA,0.093333333,0.223333333,0,6.47,NA,NA,21.56666667,6.46,NA,-0.107407555,1.468100743,NA,NA,NA,-0.40706698,-0.086276657,0.403607182,NA,0.333663329,NA,-0.355190639,-0.580032626,-0.1699893,1.894551032,NA,NA,0.187156961,-0.811955205
BIG ELDORADO LAKE,2004,NA,1.2875,0.0625,NA,NA,NA,0,0.1025,0.4575,NA,0.0225,NA,0.09,0.1125,0,4,NA,NA,14.575,6.2175,NA,-0.356557795,-0.651089657,NA,NA,NA,-0.40706698,-0.732372691,0.069197189,NA,0.476647225,NA,-0.365844455,-0.903112958,-0.1699893,0.940464767,NA,NA,-0.178313403,-1.301927346
BIG ELDORADO LAKE,2005,NA,1.995,0.06,NA,NA,NA,0,0.09,0.8,NA,0,NA,0.01,0.115,0,6.635,NA,NA,22.05,6.49,NA,-0.098281173,-0.686214359,NA,NA,NA,-0.40706698,-0.832284448,0.625644586,NA,-0.810207836,NA,-0.621536056,-0.895825431,-0.1699893,1.95828554,NA,NA,0.212421896,-0.751340094
BIG ELDORADO LAKE,2006,NA,1.74,0.066666667,NA,NA,NA,0,0.093333333,0.606666667,NA,0,NA,0.026666667,0.12,0,5.763333333,NA,NA,19.83333333,6.47,NA,-0.191370273,-0.592548485,NA,NA,NA,-0.40706698,-0.805641313,0.311542892,NA,-0.810207836,NA,-0.568266973,-0.881250379,-0.1699893,1.621587081,NA,NA,0.096551674,-0.791750168
BIG ELDORADO LAKE,2007,NA,2.21,0.044,NA,NA,NA,0,0.1,0.752,NA,0,NA,0.016,0.132,0,3.944,NA,NA,21.232,6.58,NA,-0.019794284,-0.911012457,NA,NA,NA,-0.40706698,-0.752355042,0.547660717,NA,-0.810207836,NA,-0.602359186,-0.846270253,-0.1699893,0.918833661,NA,NA,0.169663171,-0.569494764
BIG ELDORADO LAKE,2016,22.05,2.49,0.11,NA,0.43,NA,0.03,0.11,1.1,NA,0.02,NA,0.03,0.16,0,10.31,0.04,NA,26,6.63,-0.556934229,0.082421198,0.016279696,NA,-0.742684389,NA,0.218762853,-0.672425636,1.113043766,NA,0.333663329,NA,-0.557613156,-0.764649958,-0.1699893,3.377826846,-1.131986568,NA,0.418897406,-0.46846958
BIG ELDORADO LAKE,2017,17.82666667,2.556666667,0.076666667,NA,0.525,NA,0.036666667,0.123333333,1.28,NA,0.016666667,NA,0.036666667,0.148333333,0.003333333,9.905,0.06,NA,27.135,6.378333333,-0.580231433,0.106758218,-0.452049674,NA,-0.655001295,NA,0.357836149,-0.565853094,1.405483274,NA,0.143018135,NA,-0.536305522,-0.798658414,0.695582958,3.2213876,-0.928857451,NA,0.478226445,-0.976963005
BIG ELDORADO LAKE,2018,34.57166667,3.011666667,0.126666667,NA,0.738333333,NA,0.006666667,0.19,1.286666667,NA,0.005,NA,0.07,0.165,0,8.951666667,0.085,NA,28.835,6.333333333,-0.487860869,0.272858378,0.250444381,NA,-0.458098909,NA,-0.267993684,-0.032990386,1.416314367,NA,-0.524240044,NA,-0.429767356,-0.750074906,-0.1699893,2.853143778,-0.674946056,NA,0.567089322,-1.06788567
BIG ELDORADO LAKE,2019,34.035,2.553333333,0.061666667,NA,0.6,NA,0.046666667,0.08,1.163333333,NA,0.015,NA,0.06,0.123333333,0,7.623333333,0.058333333,NA,25.66,6.24,-0.490821287,0.105541367,-0.662797891,NA,-0.5857778,NA,0.566446093,-0.912213855,1.215939148,NA,0.047695538,NA,-0.461728806,-0.871533677,-0.1699893,2.340048803,-0.945784878,NA,0.401124831,-1.256466013
BIG ELDORADO LAKE,2020,40.39571429,2.524285714,0.124285714,NA,0.812857143,NA,0.027142857,0.155714286,1.275714286,NA,0.04,NA,0.042857143,0.362857143,0,6.922857143,0.1,NA,25.32571429,6.254285714,-0.455733633,0.09493738,0.216992283,NA,-0.389314928,NA,0.159160011,-0.307034065,1.398520429,NA,1.477534494,NA,-0.516519863,-0.173319254,-0.1699893,2.069476045,-0.522599219,NA,0.383650954,-1.227601675
BIG ELDORADO LAKE,2021,31.41333333,2.296666667,0.116666667,NA,0.731666667,NA,0.028333333,0.136666667,1.295,NA,0.023333333,NA,0.035,0.188333333,0,7.886666667,0.083333333,NA,25.075,6.183333333,-0.505283206,0.011843841,0.10994557,NA,-0.464252109,NA,0.183994529,-0.459280553,1.429853233,NA,0.524308523,NA,-0.541632431,-0.682057994,-0.1699893,2.441766502,-0.691873482,NA,0.370545546,-1.370961222
BIG ELDORADO LAKE,2022,41.97833333,2.726666667,0.118333333,NA,0.69,NA,0.03,0.126666667,1.48,NA,0.02,NA,0.098333333,0.266666667,0,10.29333333,0.061666667,NA,31.08666667,6.216666667,-0.447003421,0.168817618,0.133362038,NA,-0.502709606,NA,0.218762853,-0.539209959,1.730416061,NA,0.333663329,NA,-0.339209914,-0.453715503,-0.1699893,3.371389017,-0.911930025,NA,0.684789075,-1.303611099
BIG ELDORADO LAKE,2023,35.69,3.17,0.106666667,NA,0.836666667,NA,0.026666667,0.11,1.453333333,NA,0.023333333,NA,0.076666667,0.226666667,0,9.546666667,0.083333333,NA,30.6,6.17,-0.481691799,0.3306588,-0.030553241,NA,-0.367339215,NA,0.149226205,-0.672425636,1.687091689,NA,0.524308523,NA,-0.408459722,-0.570315924,-0.1699893,3.082974275,-0.691873482,NA,0.659349898,-1.397901271
BLODGETT LAKE,1991,34.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.08,6.54,-0.489911097,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.570094149,-0.650314911
BLODGETT LAKE,1992,17.7,0.18,0.11,NA,NA,NA,0,0.05,0.03,NA,0.04,NA,0,0.19,NA,0.24,NA,NA,3.31,6.02,-0.580930165,-0.760856535,0.016279696,NA,NA,NA,-0.40706698,-1.152002073,-0.625346643,NA,1.477534494,NA,-0.653497506,-0.677199643,NA,-0.511909467,NA,NA,-0.767160648,-1.700976822
BLODGETT LAKE,1994,NA,0.89,0.1,NA,NA,NA,0.01,0.14,0.13,NA,0.01,NA,0.01,0.24,0,0.63,NA,NA,7.97,6.8,NA,-0.501667275,-0.124219115,NA,NA,NA,-0.198457036,-0.432637417,-0.46288025,NA,-0.238272253,NA,-0.621536056,-0.531449117,-0.1699893,-0.361264267,NA,NA,-0.523571819,-0.124983955
BLODGETT LAKE,1996,NA,0.916666667,0.036666667,NA,NA,NA,0.02,0.1,0.143333333,NA,0.01,NA,0.11,0.15,0,0.456666667,NA,NA,6.716666667,5.883333333,NA,-0.491932467,-1.014044918,NA,NA,NA,0.010152908,-0.752355042,-0.441218064,NA,-0.238272253,NA,-0.301921555,-0.793800063,-0.1699893,-0.428217689,NA,NA,-0.589086411,-1.977112324
BLODGETT LAKE,1997,NA,0.82,0.053333333,NA,NA,NA,0.02,0.09,0.123333333,NA,0.01,NA,0.126666667,0.176666667,0,0.476666667,NA,NA,6.593333333,6.603333333,NA,-0.527221146,-0.779880233,NA,NA,NA,0.010152908,-0.832284448,-0.473711343,NA,-0.238272253,NA,-0.248652472,-0.71606645,-0.1699893,-0.420492294,NA,NA,-0.595533325,-0.522349678
BLODGETT LAKE,1998,NA,0.843333333,0.043333333,NA,NA,NA,0.02,0.1,0.14,NA,0.02,NA,0.043333333,0.17,0.006666667,0.483333333,NA,NA,6.6,6.41,NA,-0.518703189,-0.920379044,NA,NA,NA,0.010152908,-0.752355042,-0.44663361,NA,0.333663329,NA,-0.514997889,-0.735499853,1.561155217,-0.417917163,NA,NA,-0.595184843,-0.912980388
BLODGETT LAKE,1999,NA,1.103333333,0.063333333,NA,NA,NA,0.01,0.113333333,0.163333333,NA,0.01,NA,0.323333333,0.146666667,0,0.606666667,NA,NA,7.193333333,6.54,NA,-0.423788812,-0.639381422,NA,NA,NA,-0.198457036,-0.645782501,-0.408724785,NA,-0.238272253,NA,0.379922713,-0.803516765,-0.1699893,-0.370277228,NA,NA,-0.564169957,-0.650314911
BLODGETT LAKE,2000,50.96666667,1.04,0.046666667,NA,NA,NA,0.013333333,0.13,0.146666667,NA,0.01,NA,0.136666667,0.15,0,0.466666667,NA,NA,6.796666667,6.4,-0.397421013,-0.446908981,-0.873546107,NA,NA,NA,-0.128920388,-0.512566823,-0.435802518,NA,-0.238272253,NA,-0.216691022,-0.793800063,-0.1699893,-0.424354992,NA,NA,-0.584904628,-0.933185425
BLODGETT LAKE,2001,45.8,1.02,0.053333333,NA,NA,NA,0.016666667,0.116666667,0.146666667,NA,0,NA,0.073333333,0.203333333,0,0.53,NA,NA,7.4,6.736666667,-0.425921933,-0.454210086,-0.779880233,NA,NA,NA,-0.05938374,-0.619139365,-0.435802518,NA,-0.810207836,NA,-0.419113539,-0.638332836,-0.1699893,-0.399891242,NA,NA,-0.553367019,-0.252949188
BLODGETT LAKE,2002,61.225,1.17,0.065,NA,NA,NA,0,0.15,0.175,NA,0.01,NA,0.02,0.22,0,0.535,NA,NA,8.015,6.85,-0.340832895,-0.399451792,-0.615964954,NA,NA,NA,-0.40706698,-0.352708011,-0.389770373,NA,-0.238272253,NA,-0.589574606,-0.589749327,-0.1699893,-0.397959893,NA,NA,-0.521219566,-0.023958771
BLODGETT LAKE,2003,65.83,1.24,0.093333333,NA,NA,NA,0.003333333,0.16,0.183333333,NA,0.01,NA,0.166666667,0.263333333,0,0.65,NA,NA,9.343333333,6.82,-0.3154303,-0.373897921,-0.217884989,NA,NA,NA,-0.337530332,-0.272778605,-0.376231507,NA,-0.238272253,NA,-0.120806671,-0.463432205,-0.1699893,-0.353538872,NA,NA,-0.451784553,-0.084573881
BLODGETT LAKE,2004,56.81333333,1.22,0.053333333,NA,NA,NA,0.003333333,0.153333333,0.203333333,NA,0,NA,0.106666667,0.253333333,0,0.623333333,NA,NA,8.92,6.89,-0.365169003,-0.381199027,-0.779880233,NA,NA,NA,-0.337530332,-0.326064876,-0.343738228,NA,-0.810207836,NA,-0.312575372,-0.49258231,-0.1699893,-0.363839399,NA,NA,-0.473913152,0.056861376
BLODGETT LAKE,2005,58.345,1.195,0.06,NA,NA,NA,0.03,0.145,0.18,NA,0,NA,0.245,0.225,0,0.64,NA,NA,8.765,6.77,-0.35671986,-0.39032541,-0.686214359,NA,NA,NA,0.218762853,-0.392672714,-0.381647053,NA,-0.810207836,NA,0.129558021,-0.575174275,-0.1699893,-0.35740157,NA,NA,-0.482015355,-0.185599065
BLODGETT LAKE,2006,88.355,1.85,0.055,NA,NA,NA,0,0.21,0.28,NA,0.02,NA,0.11,0.39,0,0.56,NA,NA,9.445,6.855,-0.191175481,-0.151214191,-0.756463765,NA,NA,NA,-0.40706698,0.126868426,-0.21918066,NA,0.333663329,NA,-0.301921555,-0.09419754,-0.1699893,-0.388303149,NA,NA,-0.446470204,-0.013856253
BLODGETT LAKE,2007,70.165,1.2575,NA,NA,NA,NA,NA,0.115,0.2,NA,0,NA,NA,0.235,NA,NA,NA,NA,9.4325,6.9525,-0.291517109,-0.367509454,NA,NA,NA,NA,NA,-0.632460933,-0.349153774,NA,-0.810207836,NA,NA,-0.54602417,NA,NA,NA,NA,-0.447123608,0.183142856
BLODGETT LAKE,2008,74.355,1.25,0.055,NA,NA,NA,0.085,0.15,0.205,NA,0,NA,0.035,0.265,0,0.62,NA,NA,9.43,7.05,-0.268403781,-0.370247368,-0.756463765,NA,NA,NA,1.366117547,-0.352708011,-0.341030455,NA,-0.810207836,NA,-0.541632431,-0.458573854,-0.1699893,-0.365126965,NA,NA,-0.447254289,0.380141964
BLODGETT LAKE,2009,73.67666667,1.26,0.076666667,NA,NA,NA,0.013333333,0.15,0.196666667,NA,0,NA,0.116666667,0.273333333,0,0.9,NA,NA,9.483333333,6.87,-0.272145677,-0.366596815,-0.452049674,NA,NA,NA,-0.128920388,-0.352708011,-0.354569321,NA,-0.810207836,NA,-0.280613922,-0.4342821,-0.1699893,-0.256971437,NA,NA,-0.444466434,0.016451302
BLODGETT LAKE,2010,74.66,1.41,0.053333333,NA,NA,NA,0.01,0.14,0.22,NA,0,NA,0.043333333,0.233333333,0,0.673333333,NA,NA,9.48,6.623333333,-0.266721308,-0.311838521,-0.779880233,NA,NA,NA,-0.198457036,-0.432637417,-0.316660496,NA,-0.810207836,NA,-0.514997889,-0.550882521,-0.1699893,-0.344525912,NA,NA,-0.444640674,-0.481939604
BLODGETT LAKE,2011,72.635,1.21,0.045,NA,NA,NA,0.01,0.125,0.065,NA,0,NA,0.045,0.215,0,0.66,NA,NA,8.745,6.69,-0.27789183,-0.38484958,-0.896962576,NA,NA,NA,-0.198457036,-0.552531527,-0.568483405,NA,-0.810207836,NA,-0.509670981,-0.60432438,-0.1699893,-0.349676175,NA,NA,-0.483060801,-0.347239359
BLODGETT LAKE,2016,71.06,1.27,0.065,NA,0.42,NA,0.015,0.135,0.195,NA,0.015,NA,0.03,0.25,0,0.67,0.05,NA,9.89,7.05,-0.286580014,-0.362946262,-0.615964954,NA,-0.751914189,NA,-0.094152064,-0.47260212,-0.357277094,NA,0.047695538,NA,-0.557613156,-0.502299012,-0.1699893,-0.345813477,-1.03042201,NA,-0.423209039,0.380141964
BLODGETT LAKE,2017,66.00666667,1.273333333,0.083333333,NA,0.476666667,NA,0.01,0.14,0.19,NA,0.023333333,NA,0.026666667,0.236666667,0,0.67,0.043333333,NA,9.086666667,6.896666667,-0.314455753,-0.361729412,-0.3583838,NA,-0.699611992,NA,-0.198457036,-0.432637417,-0.365400414,NA,0.524308523,NA,-0.568266973,-0.541165819,-0.1699893,-0.345813477,-1.098131715,NA,-0.465201105,0.0703314
