site,latitudeDD,longitudeDD
loch,40.29231,-105.6562
sky,40.27768,-105.66888
emerald,40.30958,-105.66815
fern,40.336752,-105.67627
glass,40.28145,-105.66541
haiyaha,40.30444,-105.66204
husted,40.51044,-105.61085
louise,40.50807,-105.62062
